id,site_id,wms_url,county,year,location,n_unk_res,n_frk_res,n_oth_res,n_tot_res,crowd_sel,qaqc,p_crd_a,p_s_crd_a
14508,d4618e93-b222-5f33-8712-cfe9e0807632,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7578082199-75.9410684283---2008,0,0,3,3,other,,100,None
15699,028140db-c966-5dab-bc0b-5c19405fda03,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.8653602857-76.8614409668---2008,0,0,3,3,other,,100,None
15984,89e187ee-27f6-5234-b8db-c5d67dabf5a1,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.9060081175-76.8646909936---2008,0,0,3,3,other,,100,None
15759,26bf1b19-aa63-5107-9294-7651ce35674e,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7488235826-76.8560707123---2008,0,0,3,3,other,,100,None
14253,39c600ed-6ee6-577e-ba95-0e28478d191b,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7354827154-75.8962013098---2008,0,0,3,3,other,,100,None
14481,cab94dfd-d633-56e5-b5e0-dce56efe8b0a,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.6638515318-75.6653579363---2008,0,0,3,3,other,,100,None
14352,76374ea4-d046-503f-9246-5ed8b9e7c7ee,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7143572303-75.8904032051---2008,0,0,3,3,other,,100,None
14013,66d21ace-a345-574f-90d3-c4a1ea005454,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Lackawanna,2008,41.5990161977-75.5711663297---2008,0,0,3,3,other,,100,None
14013,66d21ace-a345-574f-90d3-c4a1ea005454,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Lackawanna,2008,41.5970906536-75.5639959705---2008,0,0,3,3,other,,100,None
15720,1052e369-fd39-5b25-aef7-3c857ce9bf01,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.6221835457-76.433470554---2008,0,0,3,3,other,,100,None
15759,26bf1b19-aa63-5107-9294-7651ce35674e,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7505491286-76.8458308412---2008,0,0,3,3,other,,100,None
15771,296c0b64-0859-560b-9142-34a1d254263d,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7095685341-76.6817220023---2008,0,3,0,3,fracking,,100,None
14484,ccd2413a-4423-55b0-a413-4735e24392f1,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.6800753119-76.0458447976---2008,0,0,3,3,other,,100,None
14013,66d21ace-a345-574f-90d3-c4a1ea005454,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Lackawanna,2008,41.5989611821-75.5725233798---2008,0,0,3,3,other,,100,None
15708,047995b5-6990-512a-b821-c3d5637f3df3,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7150578335-76.4160304299---2008,0,0,3,3,other,,100,None
15090,78e507ee-078d-5339-93b2-467b42616189,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Wyoming,2008,41.6348219571-76.160845084---2008,0,1,2,3,other,,66,None
14154,16dafb84-7c24-54ff-99b3-b033aa5745d9,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Sullivan,2008,41.465090687-76.4114649405---2008,0,0,3,3,other,,100,None
15771,296c0b64-0859-560b-9142-34a1d254263d,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7106491157-76.676111863---2008,0,0,3,3,other,,100,None
15885,61727b51-8e0e-5640-a15e-93dfc301aef7,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.6969666164-76.4429229806---2008,0,0,3,3,other,,100,None
15810,375af2e1-6631-5cfd-8c53-9b76f59c1acb,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.6947221852-76.7819874813---2008,0,0,3,3,other,,100,None
14013,66d21ace-a345-574f-90d3-c4a1ea005454,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Lackawanna,2008,41.597494101-75.5640326475---2008,0,0,3,3,other,,100,None
15720,1052e369-fd39-5b25-aef7-3c857ce9bf01,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.6295938758-76.4225849418---2008,0,0,3,3,other,,100,None
15900,63c91bc6-82ed-526c-a58f-691eafe48cd8,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7292236239-76.8218733723---2008,0,0,3,3,other,,100,None
15885,61727b51-8e0e-5640-a15e-93dfc301aef7,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7004338228-76.4433161913---2008,0,0,3,3,other,,100,None
15993,8faa7b04-1d39-50c5-80d0-b566c9b6f160,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.749451262-76.1373970965---2008,0,0,3,3,other,,100,None
16674,bd6c1db5-0d99-5581-a140-aa28d71afb9b,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.6065658718-76.545102346---2008,0,1,2,3,other,,66,None
16848,fc6c2fc5-dd79-56f1-a035-a98989c335c5,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7189612683-76.3605558026---2008,0,0,3,3,other,,100,None
15819,3df1c43a-09aa-5dca-acdb-3f1891413109,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.6198110916-76.8304880473---2008,0,0,4,4,other,,100,None
15762,27370b2d-ec76-5ad4-b703-375588f3ed7d,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.713191607-76.1514161826---2008,0,0,3,3,other,,100,None
15789,2d3b7eec-f36f-5750-85d6-7ad4f468e3a9,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7455489962-76.7684316554---2008,0,0,3,3,other,,100,None
15849,512aae39-3e96-5739-b39e-8a223af856a0,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.817825781-76.8270717128---2008,0,0,3,3,other,,100,None
15819,3df1c43a-09aa-5dca-acdb-3f1891413109,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.6240553027-76.8256170427---2008,0,3,0,3,fracking,,100,None
14256,3ad6d959-5290-5aee-89db-49a60b0607d0,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7121769516-75.8992142261---2008,0,0,3,3,other,,100,None
16752,d8fce524-1b0e-5a35-9822-6365896585b6,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7061390662-76.8060369985---2008,0,0,3,3,other,,100,None
16713,c9a90372-2b15-5acd-a180-e76812ec6ea1,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7516385413-76.8361942645---2008,0,0,3,3,other,,100,None
