InputID,TargetID,Distance,Source
40.00739103-80.28673078---2010,27c1db76-1810-589a-9996-aab1853d4e3c,242.98111438,Distance_Matrix-UTM17.csv
39.93719996-80.2933112---2010,a83eb89d-f9d0-599e-91ce-d01af9dba93e,146.703270367,Distance_Matrix-UTM17.csv
41.58491969-78.47250131---2008,b49bf88e-885e-5d18-aaec-86c0faca6427,31.0396871959,Distance_Matrix-UTM17.csv
40.22228439-80.41804212---2010,57907180-cca6-53fb-b29c-832df9617f8f,36.5921017667,Distance_Matrix-UTM17.csv
39.92022546-79.94209042---2008,90b4b2ad-e913-5fe8-9dc9-b50a88cea4de,804.608981853,Distance_Matrix-UTM17.csv
40.24887247-80.26352938---2010,c2770f51-361f-5ecd-8e37-cc1bb54beb08,40.8219120212,Distance_Matrix-UTM17.csv
39.884243-80.04364948---2010,e7479c4f-8e0c-5c93-900e-8598daf5b365,142.746723355,Distance_Matrix-UTM17.csv
39.93709603-79.83857411---2008,27f83862-e05e-5eac-923b-f0981f94ee57,342.605839647,Distance_Matrix-UTM17.csv
39.96893214-79.83419633---2008,4aebdc34-e171-51bc-a18b-8a3f6b65418c,27.0213310741,Distance_Matrix-UTM17.csv
41.28736159-79.48859299---2010,57f4d505-7a40-5ede-820b-0034ad814fb0,174.415951744,Distance_Matrix-UTM17.csv
40.28196851-80.24549119---2008,af7e4d9a-3fb1-5bb8-bcff-f148dee2d18d,708.118255555,Distance_Matrix-UTM17.csv
39.95676672-80.26956793---2010,c3ebb120-d82e-57ef-8abb-a58e7ea2f1e8,157.083003186,Distance_Matrix-UTM17.csv
40.12396928-80.21537687---2010,031b424f-b566-55aa-a00f-657f805007a0,163.229625289,Distance_Matrix-UTM17.csv
40.32056563-80.30261367---2010,767cd43c-3992-577d-b24d-156ae0658bf3,37.4055693496,Distance_Matrix-UTM17.csv
40.23161662-79.73540434---2010,fb0e394f-c141-596d-89b5-607d3b9ef519,199.87948579,Distance_Matrix-UTM17.csv
40.70494079-79.40942379---2010,6b4f5860-ac9e-593c-9daf-dc3abbd4921c,100.104510409,Distance_Matrix-UTM17.csv
39.84284342-79.9741812---2010,9beb4edd-13cf-5cc7-8486-f7845927b4b6,136.335858758,Distance_Matrix-UTM17.csv
39.81071007-79.96735941---2008,79f6bf2d-1ef0-5df6-9f27-0d58c2947fd9,4.2914500211,Distance_Matrix-UTM17.csv
39.73334844-80.01364185---2008,9d340c50-aabf-5b67-8b5e-25269bb838b8,101.469181244,Distance_Matrix-UTM17.csv
40.28765628-80.21623035---2010,ccabac3d-f8f4-5456-996e-3f133f79d389,40.7570474277,Distance_Matrix-UTM17.csv
40.63070004-79.37055529---2008,bd23cd36-551c-52f5-a034-318522de0f8d,313.16112069,Distance_Matrix-UTM17.csv
40.24708799-79.74422552---2008,1a2b7250-9275-57bd-9f2e-bc9fef5f138e,261.425135593,Distance_Matrix-UTM17.csv
39.89806099-80.30322677---2008,fc10c8d7-3f26-5397-ae1f-d507b0a90896,618.623959949,Distance_Matrix-UTM17.csv
39.99358267-80.28882639---2010,8a9017f3-f88a-5a5e-9110-c9e149f3a244,187.047333734,Distance_Matrix-UTM17.csv
40.704402-79.40924889---2010,6b4f5860-ac9e-593c-9daf-dc3abbd4921c,158.558385165,Distance_Matrix-UTM17.csv
39.82247601-79.95395614---2008,492a5a15-2910-5fc5-a8bc-2aff1c1fc29d,317.065678103,Distance_Matrix-UTM17.csv
40.80317458-80.06567948---2010,a5cf21ef-9357-5070-a8a2-de053e9ebecb,294.07395633,Distance_Matrix-UTM17.csv
40.01737002-79.65924502---2010,3030217b-1e65-5f1d-bacd-77381ac69a30,41.9751893872,Distance_Matrix-UTM17.csv
40.20485784-79.73770311---2008,e08abf1f-fc3b-5375-b87f-d1f6a7f71a9e,388.669976203,Distance_Matrix-UTM17.csv
39.73322687-79.80063631---2010,bacdb174-65bc-5345-9499-593e459f6192,34.385490583,Distance_Matrix-UTM17.csv
40.82198919-79.68071836---2010,c61576bc-2106-59ff-ac97-107d5b62acb3,40.948438829,Distance_Matrix-UTM17.csv
40.2264795-80.51616131---2008,aa99637f-1aad-50b6-b4d0-d2a2fe7c78ad,13.1740846431,Distance_Matrix-UTM17.csv
40.24402003-80.30923077---2008,c6e9e57a-0a89-5827-a13a-aaf2cb46385f,38.0523540117,Distance_Matrix-UTM17.csv
40.33022963-80.28222854---2008,3d53f2cf-a0dd-5bc4-8bb0-6030364d9883,47.6009650975,Distance_Matrix-UTM17.csv
40.01998395-80.03896312---2008,4ad2c80e-67ec-5333-82cb-31374f5922d7,157.899350759,Distance_Matrix-UTM17.csv
40.24813091-80.3285787---2008,f0fc7e77-2e62-50ac-aeca-cd8aeda7ba04,31.266024086,Distance_Matrix-UTM17.csv
40.22455393-79.71209983---2008,2ead0093-c02e-5910-afeb-5241a199ba61,93.9288235843,Distance_Matrix-UTM17.csv
39.96910021-80.11046016---2010,22044b09-54ba-5f4b-ab36-3ddaa42e5865,128.943017497,Distance_Matrix-UTM17.csv
40.00950887-79.67256451---2010,f6611992-958f-5f1a-9aec-4b0b56af28bf,69.4573770853,Distance_Matrix-UTM17.csv
40.87020401-79.56426894---2010,7fb016ca-1642-5f8f-ba4c-57350d81dfed,99.2019915027,Distance_Matrix-UTM17.csv
40.7939103-80.07942479---2010,d02fef91-6897-58cd-a2c5-e01bf10fe464,368.683085544,Distance_Matrix-UTM17.csv
40.22509243-80.5174751---2010,aa99637f-1aad-50b6-b4d0-d2a2fe7c78ad,177.086276011,Distance_Matrix-UTM17.csv
40.8780097-79.51980614---2010,6381a0d1-ecda-516e-9dcb-5eaf414ec726,120.44632171,Distance_Matrix-UTM17.csv
39.86182467-79.97397356---2008,ae664fe9-676d-5e72-8284-03db14bed30d,313.815991437,Distance_Matrix-UTM17.csv
40.85065687-78.65996005---2010,f78971e0-ff6a-5153-8da7-ac77e3eeff07,36.7090223003,Distance_Matrix-UTM17.csv
40.63021189-79.1016003---2010,d157acae-0943-5348-86f0-3ca8dc9a9074,99.7921089046,Distance_Matrix-UTM17.csv
