WKT,X,Y,longitude,latitude,county
"POINT (-80.034819 39.818438)",-80.0348190000,39.8184380000,-80.0348190000,39.8184380000,Greene
"POINT (-79.588069500000046 40.806438)",-79.5880690000,40.8064380000,-79.5880690000,40.8064380000,Armstrong
"POINT (-77.604886 41.685907)",-77.6048860000,41.6859070000,-77.6048860000,41.6859070000,Potter
"POINT (-80.305504 39.872937)",-80.3055040000,39.8729370000,-80.3055040000,39.8729370000,Greene
"POINT (-80.051539848640729 39.862980516021224)",-80.0515390000,39.8629805000,-80.0515390000,39.8629805000,Greene
"POINT (-79.964937562398262 39.734374487927447)",-79.9649370000,39.7343744000,-79.9649370000,39.7343744000,Greene
"POINT (-79.620347388573478 40.847829119739025)",-79.6203470000,40.8478291000,-79.6203470000,40.8478291000,Armstrong
"POINT (-79.555062398335266 40.855146381829805)",-79.5550620000,40.8551463000,-79.5550620000,40.8551463000,Armstrong
"POINT (-79.60182392446707 40.73977576932149)",-79.6018230000,40.7397757000,-79.6018230000,40.7397757000,Armstrong
"POINT (-79.501455 40.861197)",-79.5014550000,40.8611970000,-79.5014550000,40.8611970000,Armstrong
"POINT (-79.507299 40.747566)",-79.5072990000,40.7475660000,-79.5072990000,40.7475660000,Armstrong
"POINT (-76.101148 41.56507)",-76.1011480000,41.5650700000,-76.1011480000,41.5650700000,Wyoming
"POINT (-77.662771664564303 41.689552927775651)",-77.6627710000,41.6895529000,-77.6627710000,41.6895529000,Potter
"POINT (-75.972217 41.602876)",-75.9722170000,41.6028760000,-75.9722170000,41.6028760000,Wyoming
"POINT (-79.476172 40.823336)",-79.4761720000,40.8233360000,-79.4761720000,40.8233360000,Armstrong
"POINT (-79.484902108527564 40.699276572529335)",-79.4849020000,40.6992765000,-79.4849020000,40.6992765000,Armstrong
"POINT (-79.486029324899235 40.915131293269276)",-79.4860290000,40.9151312000,-79.4860290000,40.9151312000,Armstrong
"POINT (-79.595673 40.862373)",-79.5956730000,40.8623730000,-79.5956730000,40.8623730000,Armstrong
"POINT (-79.654587236397347 40.758926294096298)",-79.6545870000,40.7589262000,-79.6545870000,40.7589262000,Armstrong
"POINT (-79.615011499999966 40.849279)",-79.6150110000,40.8492790000,-79.6150110000,40.8492790000,Armstrong
"POINT (-79.368100892525476 40.689562823202664)",-79.3681000000,40.6895628000,-79.3681000000,40.6895628000,Armstrong
